artist,genre,lyric,date
엔알지 (NRG),발라드,Ho ho hoYo my friendYo my dreamHo ho hoYo my friendYo my dream내가 자란 이 동네에서 함께 뛰놀던 친구들과 모두 같이 있어 너무 좋은 추억 거리들 이거리를 그때 그곳을 생각해 보곤해 떠올려 보곤해 아무걱정 없이 미래에 대한 고민없이 말썽피고 사고치는일이 아무렇지도 않은 듯이 웃어넘긴 하긴 저긴 세월이 흘러 우리의 우정도 멀어져만 가고 돌이켜보면 난 어리석었어 그저 노는 것이 즐겁기만 했다는 것이 아무런 생각도 들지 않았어 지금 이순간이 영원하기만을 바랬어 나이가 들어 하나 둘씩 모두가 떠나가고 남은거라곤 내 힘든 육체 뿐이라고 말 한마디 건네줄 친구도 없더라고 난 yo yo my friend그리웠던 나의 친구야 네가 너무 보고 싶어 아직 우린 미래가 남아있어 ooh yeah 지금이라도 꿈을 펼쳐봐 너에겐 용기가 있어 너와나 우리의 우정이 남아있는 걸 내가 살아간다는 건 우리가 필요하다는 건 삶에 지친 공식에 얽매이지 않다는 것 생각없이 사는것 같지만 내게도 꿈은 있어 한번도 흔들림 없는 나만의 그 세계가 있어 무엇이던 하던 말던 어쨌던 우리가 만든 춤과 노래로 희망을 갖고 나아가 모두다가 우정이란 달콤한 말로 속이기 보다는 친구라는 믿음으로 우리 모두 다가가 내 마음이 닿는대로 지금 모습 그대로 다시 하고 싶은 대로 너와 난 손발이 맞았고 스무 해를 넘어 조금은 내 인생을 찾아가고 있어 내 입가엔 미소만이 남았어 우리가 얼마나 무엇을 어떻게 하는 것이 아냐 앞을 보며 무작정으로 달리는것이 아냐 진실만으로 깨우친 후에 우정을 말하리 한번더 생각하고 그 뒤에 앞으로 나가리 그리웠던 나의 친구야 네가 너무 보고 싶어 아직 우린 미래가 남아있어 ooh yeah 지금이라도 꿈을 펼쳐봐 너에겐 용기가 있어 너와 나 우리의 우정이 남아있는 걸 ho ho ho steal in my lifeyo my friend yo my friendyo my drem yo my dreamho ho ho you steal in myyo my friend yo my friendyo my drem yo my dream해맑은 너의 미소는 이제 가슴속에 남아있어 우리들의 우정은 변치 않길 바래 내 마음속에 간직 했었던 그때 그 기억속에서 다시 찾은 네 맘은 이젠 잊지 않을께 ,2003.02.07
문희준,록/메탈,모든 게 너에게는 너의 삶이 아닌데도 (네겐 그럴 권리조차 없는 걸 네 마음에 G.가리지마)  작은 의자에 앉아 너의 그 검은 손으로 너의 인격을 죽여가  Oh~ 그렇게 살지마 Oh~ 너를 위해서 Oh~ 그럴 필요 없잖아 Oh~ 널 기억해  살아가기도 힘든 세상에(너 같은 것들) 이젠 가치조차 없는 것들 사라져 버려  너완 상관없다고 남들을 유린하지마 (네겐 그럴 권리조차 없는 걸 네 마음에 G.가리지마)  생각없이 내뱉은 너의 그 더러운 말로 평생을 상처로 살아가  Oh~ 그렇게 살지마 Oh~ 너를 위해서 Oh~ 그럴 필요 없잖아 Oh~ 널 기억해  어지러운 세상 속에(그렇게 살지마) 너에겐 마지막 기회(너를 위해서) 이제 더 이상은 안돼(그럴 필요 없잖아) Oh~ (널 기억해) ,2003.07.28
김진표,랩/힙합,It's it's jp 나 너와 나 똑같은 끝까지아직 아직 못다한 내 얘기이 세상이 끝날 때 까지(이 세상이 끝날 때 까지)안녕이라 말하지마아직은 날 떠나가지마이밤이 지난대도 몇 만년이 흘러도아직 난 해줄 얘기가 많아어제 넌 내게 아무 말이나 해보라고 했지왜 암말 못하냐며 소릴 질러댔지무슨 말을 해야될지 몰랐었을 뿐인데너에게 하고 싶은 말들은 많았었는데무조건 화만내며 눈물이 가득 고인 널바라보며 내 입술은 절대 떨어지지 않던 걸또한 구차해지는 것 같아 망설였을뿐순간 자존심 챙기는 내게 실망했을뿐말한마디 꺼낼때면 내말을 잘라넌 말했었지 우린 너무나 달라가슴아픈 예전의 추억들만 잔뜩 꺼내회복할수 없을 만큼 터뜨려 우리 사일 갈라이런 상황에서 내가 무슨말을 해너무 당황해서 담배만 태우는데우리 심장 박동소리만 여기 잔뜩 울려어색한 침묵만 끊임없이 주위에 계속 흘러안녕이라 말하지마아직은 날 떠나가지마이 밤이 지난대도 몇만년이 흘러도아직 난 해줄 얘기가 많아날 첨볼 때 너무도 환히 웃던 미소난 아직도 선명히 내 머리에 남아있어우리가 자주 가던 바에서 너와나 손잡고 바랬던 우리 둘만의 미래 난 아직 기억해이 짧은 노래에 말하긴 부족해순전히 너의 모습 보기 위해서너의 집앞에서 난 기나긴 밤을 매일 지새웠었어안녕이란 말을 더듬던것부터조그만 우리의 발이 되준 내 스쿠터뒤에서 들리던 행복한 니 웃음 소리그리고 말하기엔 유치한 그 놀이갑자기 필름처럼 모든것들이 다가와왜 지금에서야 모두 생각나는것일까뒤를 돌아봐 시간있잖아나 아직 너에게 해줄 얘기가 너무 많아너와나 우리같이 이 세상이 끝날때까지안녕이라 말하지마아직은 날 떠나가지마이 밤이 지난대도 몇만년이 흘러도아직 난 해줄 얘기가 많아이 밤이 지난대도 태양이 다시떠도너에게 해줄 말이 많은 걸내게 불어오는 바람아너는 내 얘기를 어서 그녀에게 전해주렴내 몸을 적시는 빗방울아너는 그녀 향길 어서 내 몸에서 씻어주렴내게 내리쬐는 태양아너는 여길 떠나 어서 그녀에게 비춰주렴뭐든지 볼 수있는 하늘아그녈 볼 수 있게 어서 너의 눈을 빌려주렴내게 불어오는 바람아너는 내 얘기를 어서 그녀에게 전해주렴내 몸을 적시는 빗방울아너는 그녀 향길 어서 내 몸에서 씻어주렴내게 내리쬐는 태양아너는 여길 떠나 어서 그녀에게 비춰주렴뭐든지 볼 수있는 하늘아....,2003.05.12
JTL,댄스,believe it you'd better  believe it  it's without without  your love  아무런 감정은 없어 나  바보처럼 멈춰서  나의 길을 찾으려 자 눈을 감아  왜 내가 그 이상이 될 수 없는지  알 수가 없어 이 현실이  나 여기서 끝내야해 햇님을 담아 별님을 담아  나 상상했던 이상 찾아  believe it you'd better believe it  'cause I found the future it's sithout it's without your love  무지개 닮아 정말 예뻐 저 하늘의 구름이 되게  you'd bet better believe it you showed me the furute it's without without your love  나의 길을 찾으려 애쓰며  달을 내려 별빛을 꺼  무엇이든 상관없어  너로 인해 겪은 모든 것으로 인해  나의 미래를 찾았으니깐  그래 나 그 누구도 탓하지 않아  모든걸 잊고 나아가야 해  너의 사랑 없이 나아가야 해  아무도 필요치 않게  숨조차 참을 수 없게  그 누구도 탓하지 않아  너 생각해봐  그렇지 너 생각이 나질 않겠지 되돌릴수 없단 걸 알지  모든 걸 잊고 시작 해볼래 without your loving  햇님을 담아 별님을 담아  나 상상했던 이상 찾아  believe it you'd better believe it  'cause I found the future it's sithout it's without your love  무지개 닮아 정말 예뻐 저 하늘의 구름이 되게  you'd betbetter believe it you showed me the furute it's without without your love  햇빛을 내려 비가 내리게  깨끗이 잊어버리게  영원히 지워 버리게  감정의 흐름을 잃어버려  공간속에 난 갇혔어 without your love  you'd better  you'd better  better believe it  you'd better  better believe it 햇님을 담아 별님을 담아  나 상상했던 이상 찾아  believe it you'd better believe it  'cause I found the future it's sithout it's without your love  무지개 닮아 정말 예뻐 저 하늘의 구름이 되게  you'd betbetter believe it you showed me the furute it's without without your love you'd better better believe it  without your love it's without without your love 햇님을 닮아 ,2003.08.11
INO,"록/메탈, 국내드라마","Say yesI wanna feel my life~고운 햇살의주문에 걸려또 하루가 열리죠그대 향기가바람을 타고살며시 날 부르죠싱그런 아침 이슬과그대의 향기를 담아언제까지라도갖고 싶은 걸알고 있나요 say yesI wanna feel my life내 마음 가질오직 한 사람이제 찾은거죠 my loveI wanna dream of you영원히 내가 사랑할테니나를 받아줘요반쯤 열어둔 창 너머그대 미소로 날 반기죠혹시 입가에맴도는 그 말얼굴에 써있나요날마다 꿈에도 만나추억을 만들고 싶죠잠시 떨어질땐그대 나처럼아쉬울까Say yesI wanna feel my life내 마음 가질오직 한 사람이제 찾은거죠 my loveI wanna dream of you영원히 내가 사랑할테니나를 받아줘요My loveI wanna dream of you영원히 내가사랑할테니나를받아줘요
				",2003.08.06
유진,댄스,한마디 단 한마디 축하해 바빠서 몰랐어 내 생일을 울음바다로 만들어 놓고선 바빴다고 비싸서 부담 될까 선물 얘기도 안 꺼냈어 단 한번만 나를 위해서 그냥 웃어주면 됐었는데 차차 나아지겠지 차차 좋아 지겠지 하루에 하루를 보탠게 결국 이거야 oh oh 차차 나아지겠지 차차 좋아지겠지 미련에 미련을 보태서 널 차버릴거야 oh oh 바빠서 힘들어 피곤해 그 말 밖에 너는 모르지 세상 모든 여자들이 듣기 싫어하는 말 골라 해댔지 이해를 해봐도 언제나 돌아오는 것은 무관심 그것 때문에 아파 한 내가 정말 바보였어한마디 단 한마디 전화해 축하한다는 말 내 생일은 너 하나로도 충분한 가치가 있었는데 잔다고 피곤해 잤다고 그 말 한마디에 난 죽었어 세상 안에 살고 있단게 너로 인해서 무너졌어 차차 나아지길 바란 차차 좋아지길 바란 욕심이 너무나 컸나봐 알면서도 말야 oh oh 차차 나아지길 바란 차차 좋아지길 바란 내 욕심에 욕심을 더해서 널 차버릴거야 oh oh 미련한 믿음에 아파한 내 마음을 너는 모르지 알면서도 모르는 척 한거란걸 알지만 내가 미쳤지 멋대로 살아봐 혼자서 평생동안 혼자 살아봐 그때 그리우면 한 번쯤 내가 생각은 해줄게 다음 세상에서 너를 사랑할거냐고 물어온다면 절대 죽어도 너랑은 안해 작은 것 하나도 모르는 널 너를 내가 왜 미쳐가도록 사랑 사랑했던 내가 내가 내가 불쌍해 차차 나아지길 바란 차차 좋아지길 바란 욕심이 너무나 컸나봐 알면서도 말야 oh oh 차차 나아지길 바래 차차 좋아지길 바래 내 욕심에 욕심을 더해서 널 차버릴거야 oh oh 미련한 믿음에 아파한 내 마음을 너는 모르지 알면서도 모르는 척 한거란걸 알지만 내가 미쳤지 멋대로 살아봐 혼자서 평생동안 혼자 살아봐 그때 그리우면 한 번쯤 내가 생각은 해줄게 다음 세상에서 너를 사랑할거냐고 물어온다면 절대 죽어도 너랑은 안해 작은 것 하나도모르는 널 너를 내가 왜미쳐가도록 사랑사랑했던 내가 내가 내가 불쌍해,2003.05.30
이효리,댄스,Just One 10 MINUTES 내 것이 되는 시간 순진한 내숭에 속아 우는 남자들 Baby 다른 매력에 흔들리고 있잖아 용기내봐 다가와 날 가질 수도 있잖아 어느 늦은 밤 혼자 들어선 곳 춤추는 사람들 그 속에 그녀와 너 왠지 끌리는 널 갖고 싶어져 그녀가 자릴 비운 그 10분 안에 지루했던 순간이 날 보는 순간 달라졌어 I'm telling you 오래된 연인 그게 아니던 중요한 사실은 넌 내게 더 끌리는 것 I say 너의 그녀는 지금 거울을 보며 붉은색 립스틱 화장을 덧칠하고 Baby 높은 구두에 아파하고 있을걸 나는 달라 그녀와 날 비교하진 말아줘 짧은 순간이 아니라고 했잖아 영화속에 갇힌 우리가 되는 거야 영화속 10분 1년도 지나쳐 어때 겁먹지는 마 너도 날 원해 지루했던 순간이 날 보는 순간 달라졌어 I'm telling you 오래된 연인 그게 아니던 중요한 사실은 넌 내게 더 끌리는 것 Just one 10 MINUTES 내 것이 되는 시간 모든 게 끝난 후 그녀가 오고 있어 Baby 붉은 립스틱 촌스럽기도 하지 내게와봐 이제 넌 날 안아봐도 괜찮아 Don't tell a lie just be yourself 힘들게 둘러 대지마 널 떠나달라 말을해 have it your wayBling Bling shine it's right to come 사랑에 빠진 거라고 거짓을 말할거라면 모두 없던 걸로 해 I say 너의 그녀는 지금 거울을 보며 붉은색 립스틱 화장을 덧칠하고 Baby 높은 구두에 아파하고 있을걸 나는 달라 그녀와 날 비교하진 말아줘 Just one 10 MINUTES 내 것이 되는 시간 순진한 내숭에 속아 우는 남자들 Baby 다른 매력에 흔들리고 있잖아 용기 내봐 다가와 날 가질 수도 있잖아 Just one 10 MINUTES Just one 10 MINUTES,2003.08.13
김경호,록/메탈,가슴 깊이 묻어도 바람 한 점에 떨어지는 저 꽃잎처럼 그 이름만 들어도 눈물이 나 돌아갈 수 있을까 날 기다리던 그 곳으로 그 기억 속에 내 맘 속에 새겨진 슬픈 얼굴 커다란 울음으로도 그리움을 달랠 수 없어 불러 보고 또 불러 봐도 닿지 않는 저 먼 곳에 빈 메아리 되돌아 오며 다 잊으라고 말하지만 나 죽어 다시 태어나도 잊을 수 없는 사람 - 간 주 중 -단 한 번만이라도 볼 수 있다면 나의 두 눈이 먼다 해도 난 그래도 그 한 번을 택하고 싶어가슴 깊이 묻고 있어도 바람 한 점에 떨어지는 저 꽃잎 처럼 그 이름만 들어도 눈물이 나 떨어진 꽃잎 처럼 ,2003.08.11
코요태,댄스,대체 어떤 사람을 만난거야 너의 표정이 달라보여 매일 바쁘단 핑계속에 내 마음 멀어질뿐야 내가 너에게선물한 지갑속에 다른 사람의 사진있고 밤새 너와 같이했던 얘기들을 어떻게 이해해야 해 너는 한번도 날 사랑한다말하지 않았어 그저 성격이라 믿었었지만너의 애매한 그 행동에난 많이 답답해 나를 사랑한지 의심스러워 이제는 제발 내게 말해줘누굴 사랑하는지 너의 마음 안에내 모습 알고싶어 더 이상 부담주지 않을께나도 사랑없다면 이젠 나도 포기하고 싶어 도대체 어디를 나간거야너의 전화가 꺼져있어 보고싶단 메세질 남겨봐도연락이 오지를 않아 너는 한번도 날 사랑한다말하지 않았어 그저 성격이라 믿었었지만 너의 애매한 그 행동에나 많이 답답해 너를 사랑한게 후회스러워 이제는 제발 내게 말해줘누굴 사랑하는지 너의 마음 안에내 모습 알고싶어 더 이상 부담주지 않을께나도 사랑없다면 이젠 나도 포기하고 싶어 ,2003.05.22
임창정,발라드,"오늘은 이제 멀리 가는구나1분 1초가 야속 하구나원래 그런가 보다그 누구가 내 마음 아는가오늘은 두 번 다시 오진 않는가더 이상 미련은 내겐 없어너에 대한 욕심은 끝이 없어그 동안 추억 간직 하겠어너에 대한 마음도 간직 하겠어왜 시간은 항상 아쉬울때끝나는 걸까 오 나만 그런걸까왜 시간은 항상 행복할때끝나는 걸까 나에게만 그런걸까오늘이 아쉬워 잠 못들고한숨만 쉬다 잠이들고 오미련한 사람아내일 아침에도 또 해가 뜰거야오늘은 이제 멀리 가는구나1분 1초가 야속 하구나원래 그런가보다그 누구가 내 마음 아는가오늘은 두 번 다시 오진 않는가더 이상 미련은 내겐 없어너에 대한 욕심은 끝이 없어그 동안 추억 간직하겠어너에 대한 마음도 간직하겠어왜 시간은 항상 아쉬울때끝나는 걸까 오 나만그런걸까왜 시간은 항상 행복할때끝나는 걸까 나에게만 그런걸까오늘이 아쉬워 잠 못들고한숨만 쉬다 잠이들고 오미련한 사람아 내일 아침에도또 해가 뜰거야 이순간 나 너무 행복해내일 또 모레 오늘 같기를 바래그게 아니라면 내일이 없다면난 너무 아쉬워 시간이 미워오늘이 아쉬워 잠 못들고한숨만 쉬다 잠이들고미련한 사람아 내일 아침에도오늘이 아쉬워 잠못들고한숨만 쉬다 잠이들고 오미련한 사람아 내일 아침에도또 해가 뜰거야 예
				",2003.06.05
